DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24660495",66000,5,64,366
"24660496",61600,5,70,1064
"24662615",57200,0,65,648
"24662616",69000,0,71,495
"24662617",62800,5,65,813
"24662593",85000,5,62,480
"24662618",78500,5,65,397
"24662585",77000,5,64,529
"24662591",87000,0,56,399
"24662589",71000,0,59,381
"24662586",69500,5,64,649
"24662590",76500,0,65,444
"24662587",48800,10,65,637
"24662588",55200,0,63,638
"24662651",39600,15,66,748
"24662642",58400,0,61,661
"24662643",58000,15,71,933
"24662644",51200,15,65,477
"24662641",56400,10,65,493
"24662640",55200,5,65,542
"24662646",57600,5,61,532
"24662639",39600,30,58,561
"24662645",49200,5,62,739
"24662979",54000,10,65,735
"24662647",57600,5,66,416
"24662638",41600,65,66,825
"24662975",52400,15,64,655
"24662974",62400,5,64,590
"24662978",54400,10,62,383
"24662666",61600,5,67,580
"24662977",55200,5,61,419
"24662976",39200,40,61,558
"24662971",57200,10,63,406
"24662667",58400,5,68,600
"24662676",53200,5,57,505
"24662669",43200,15,64,699
"24662675",53200,15,66,753
"24662679",70500,5,64,766
"24662677",44400,10,66,679
"24662680",54000,5,67,467
"24662678",57200,15,65,510
"24662674",51600,10,63,802
"24662712",54000,10,63,649
"24662681",47600,5,62,474
"24662682",48800,5,66,501
"24662713",59600,5,65,631
"24662710",65000,5,64,624
"24662683",56000,10,68,520
"24662711",54800,5,63,549
"24662684",56400,5,67,659
"24662686",53600,5,69,732
"24662697",43600,20,71,803
"24662728",42800,20,60,618
"24661624",44800,10,69,372
"24661534",42400,10,65,400
"24661526",46800,0,68,385
"24661547",42400,15,71,642
"24661525",38400,20,71,504
"24661535",47200,5,69,525
"24661622",46000,0,70,383
"24661546",46800,20,61,536
"24661623",48400,10,68,463
"24661536",45200,10,70,503
"24661537",47600,10,68,566
"24661621",47600,25,66,1241
"24661520",70000,5,78,985
"24661517",55200,5,80,502
"24661527",39200,15,72,435
"24661548",49600,15,67,588
"24661567",140000,0,61,404
"24661559",50000,10,69,434
"24661558",60400,10,62,346
"24661549",48800,15,65,698
"24661566",45200,20,69,787
"24661557",39200,10,75,544
"24661560",59600,5,68,585
"24661561",45200,0,70,380
"24661564",36800,30,72,912
"24661524",40400,10,72,302
"24661545",51200,15,63,615
"24661538",39200,15,73,430
"24661544",43600,10,79,363
"24661539",36400,30,76,531
"24661523",31200,45,69,440
"24661543",47200,5,65,392
"24661540",41600,10,78,599
"24661550",40800,15,69,335
"24661542",51600,10,62,367
"24661556",52400,5,70,657
"24661562",50400,10,70,566
"24661555",43200,30,63,670
"24661563",46000,5,71,807
"24661617",33200,40,61,299
"24661616",50000,10,70,652
"24661615",44000,20,67,735
"24661554",54400,5,71,406
"24661618",59600,15,71,1012
"24661614",48800,25,68,831
"24661522",52800,10,70,922
"24661541",46000,5,75,481
"24661551",44000,15,68,524
"24663250",40000,65,64,1072
"24663340",,,,0
"24660444",52800,10,73,510
"24660476",62000,0,67,511
"24660445",56000,5,74,645
"24660479",56800,10,68,682
"24660478",66000,5,71,732
"24660480",54400,10,69,509
"24660466",67000,5,78,472
"24660467",71000,0,74,435
